X,Y,OBJECTID,LAT,LON,LONGNAME,Nombre,Profundida,Longitud,Ancho,Alto,SOURCETHM,vertiente,Municipio
226879.291201936,3193960.08033371,1,+3193960.080,+226879.2912,"r,b u", ,0,0,0,0, ,N,Barlovento
222609.053795808,3193007.9606256,2,+3193007.960,+222609.0537,u, ,0,0,0,0, ,N,Barlovento
218494.295077279,3194000.37805187,3,+3194000.378,+218494.2950,u, ,0,0,0,0, ,N,Garafía
218440.14932609,3193897.29620372,4,+3193897.296,+218440.1493,salida cueva, ,0,0,0,0, ,N,Garafía
216679.064860301,3194740.44301569,5,+3194740.443,+216679.0648,u, ,0,0,0,0, ,N,Garafía
216636.137681866,3194842.07215914,6,+3194842.072,+216636.1376,u, ,0,0,0,0, ,N,Garafía
216523.645968226,3195090.47561162,7,+3195090.475,+216523.6459,u, ,0,0,0,0, ,N,Garafía
216510.309151307,3195159.11074669,8,+3195159.110,+216510.3091,u, ,0,0,0,0, ,N,Garafía
210288.817686685,3174798.76285322,9, , , ,"Cueva de la Hondura,  Diablo o Ricardo",10,35,15,8, ,W,Tijarafe
210165.110470229,3176088.51372575,10, , , ,"Cueva de Agua Dulce, El Juro",10,30,15,5, ,W,Tijarafe
210105.359033395,3176145.27759074,11, , , ,Cueva de las Langostas,10,35,15,15, ,W,Tijarafe
209684.528788859,3177932.89973692,12, , , ,Cueva Bonita (Sistema de Cuevas ) Cueva de Fuera,9,15,0,0, ,W,Tijarafe
209724.932631532,3178043.3369069,13, , , ,Cueva Bonita (Sistema de Cuevas) Cueva de Dentro,3,8,4,4, ,W,Tijarafe
209340.985459278,3178829.7689938,14, , , ,Cueva de la Candelaria,10,8,5,5, ,W,Tijarafe
208823.869323522,3179961.84979289,15, , , , Cueva del Bajón de Dentro de La Veta,15,15,3,2, ,W,Tijarafe
212780.763870009,3194135.54883536,16, , , , Cueva Punta Valiero,10,20,5,5, ,N,Garafía
216326.214146378,3195421.70005963,17, , , ,Cueva de de La Furna,20,90,20,20, ,N,Garafía
215520.209831256,3195413.87389186,18, , , , Cueva de la Zorcita,15,20,10,5, ,N,Garafía
221573.996018069,3192944.19736859,19, , , , Tubo de Pata del Roque,8,30,8,6, ,N,Garafía
227717.667816128,3193867.8517195,20, , , , Tuneles de La Fajana,15,30,5,3, ,N,Barlovento
229394.105194128,3192443.43200467,21, , , ,Cueva de Talavera,8,15,3,3, ,N,Barlovento
232898.973384402,3184213.20106431,22, , , , Cueva del Infierno,13,105,20,10, ,N,Puntallana
232948.729405867,3184125.92410862,23, , , ,Gruta de Nogales,16,120,20,15, ,N,Puntallana
230354.890909837,3172460.17625635,24, , , , Cueva  de los Cancajos (Playa),6,65,4,2, ,E,Breña Baja
230617.51103712,3172078.96822567,25, , , ,Tunel de Rosario,12,25,15,8, ,E,Breña Baja
230502.226218862,3171776.70020107,26, , , ,Cueva del Sifón,10,15,8,5, ,E,Breña Baja
228033.272048764,3160997.67423681,27, , , ,Cueva de Niares,10,20,6,3, ,E,Mazo
218877.306120942,3153849.31204405,28, , , ,Cueva de Punta Larga,15,15,4,4, ,S,Fuencaliente
213668.515090489,3166961.91017686,29, , , ,Tunel de la Punta del Volcán,15,20,4,4, ,W,Tazacorte
217181.917853326,3194676.75744664,30, , , ,Tunel de La Madalena,20,25,15,15, ,N,Garafía
233661.340303343,3181134.19182485,31, , , , Cueva de los Jureles,25,25,10,2, ,E,Puntallana
230250.507299239,3172882.38742885,32, , , ,Tunel del Pulpo,10,15,4,6, ,E,Breña Baja
230474.619839407,3165235.01934165,33, , , , Tunel de la Punta de los Suecos,10,20,10,3, ,E,Mazo
216344.026507542,3195457.27559475,34, , , ,Cueva de los Abades,20,20,10,4, ,N,Garafía
231056.402472972,3169095.56089126,35, , , , Cueva de La Caldera,4,8,5,2, ,E,Mazo
230569.185340878,3189536.15235308,36, , , ,Tunel del Varadero,3,25,4,3, ,N,San Andres y S*
227336.816160144,3193725.91199237,37, , , ,La Furna de La Azotea,10,40,4,4, ,N,Barlovento
230096.977744749,3172846.53453508,38, , , ,Tunel Playa Cancajos,3,25,4,4, ,E,Breña Baja
211187.473786375,3173083.34869886,39, , , ,Tunel del Bajón de las Jaulas,20,25,3,2, ,W,Tijarafe
